ChEMBL ID,Name,SMILES
CHEMBL2106244,DOMAZOLINE FUMARATE,COc1cc(C)c(OC)c(C)c1CC1=NCCN1.O=C(O)/C=C/C(=O)O
CHEMBL2106621,ENAZADREM PHOSPHATE,Cc1nc(NCCCCCCc2ccccc2)nc(C)c1O.O=P(O)(O)O
CHEMBL2287990,3-CINNAMYLIDENEMYOSMINE,C(=C/c1ccccc1)\C=C1/CCN=C1c1cccnc1
CHEMBL2146144,ATROPINE OXIDE HYDROCHLORIDE,C[N+]1([O-])[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.Cl
CHEMBL2105191,MENADOXIME,CC1=C/C(=N/OCC(=O)O)c2ccccc2C1=O.N
CHEMBL448416,LIDAMIDINE,CN=C(N)NC(=O)Nc1c(C)cccc1C
CHEMBL3301596,DASOTRALINE HYDROCHLORIDE,Cl.N[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
CHEMBL1332971,CLONIXIN,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O
CHEMBL1163895,XESTOSAPROL J,COc1cccc2cc3c(cc12)[C@]1(C)CC[C@H](O)[C@@H]2COC(=C21)C3=O
CHEMBL1773912,DIDEMNIMIDE A TRIFLUOROACETATE SALT,O=C(O)C(F)(F)F.O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1cnc[nH]1
CHEMBL222265,BOERAVINONE H,COc1cc2oc3c(c(=O)c2c(O)c1C)-c1cccc(O)c1OC3OC
CHEMBL454480,MENISDAURILIDE,O=C1C=C2C=C[C@@H](O)C[C@H]2O1
CHEMBL293354,AMINOOXAZOLIDINONE,NC1CNC(=O)O1
CHEMBL550772,BENZO[C]ACRONYCINE,COc1cc2c(c3c1c(=O)c1ccc4ccccc4c1n3C)C=CC(C)(C)O2
CHEMBL2334426,CRYPTOBEILIC ACID B,CCCCCC[C@@H]1[C@H]2C=C[C@H]3C(C(=O)O)=C[C@@H](O)[C@@H]4C[C@@H]1[C@@H]2[C@H]43
CHEMBL360427,ISOVOACANGINE,CC[C@H]1C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@](C(=O)OC)(C2)[C@H]13
CHEMBL1884767,TRIALLATE,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C
CHEMBL4098877,MLi-2,C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C[C@H](C)O1
CHEMBL1897989,"3,3-DIPHENYLPROPANOIC ACID",O=C(O)CC(c1ccccc1)c1ccccc1
CHEMBL627,AMITRIPTYLINOXIDE,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21
CHEMBL182,GANCICLOVIR,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
CHEMBL27810,CELIPROLOL,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1
CHEMBL84158,TIAPRIDE,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC
CHEMBL4297488,CT-7001,CC(C)c1cnn2c(NCc3ccccc3)cc(NC[C@H]3CCNC[C@@H]3O)nc12
CHEMBL864,CARBINOXAMINE,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
CHEMBL807,MEMANTINE,CC12CC3CC(C)(C1)CC(N)(C3)C2
