Chemical Name,SMILES,Binding
L-(-)-Mannose,O1[C@H]([C@@H]([C@H]([C@H](C1O)O)O)O)CO,No
D-Allose,C([C@@H]1[C@H]([C@H]([C@H](C(O1)O)O)O)O)O,No
L-(-)-Galactose,O1[C@H]([C@H]([C@H]([C@@H](C1O)O)O)O)CO,No
D-(+)-Galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,No
DL-Xylose,O[C@@H]([C@H](O)CO)[C@@H](O)C=O,No
"2-Deoxystreptamine, Dihydrobromide",C1[C@H]([C@@H](C([C@@H]([C@H]1N)O)O)O)N,No
4-Aminophenyl beta-D-galactopyranoside,NC1=CC=C(OC2[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O2)C=C1,No
Gastrodin,O1[C@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)Oc2ccc(cc2)CO,No
Arbutin,O1[C@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)Oc2ccc(cc2)O,No
Sucrose,O1[C@]([C@H]([C@@H]([C@H]1CO)O)O)(O[C@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)CO,No
D-(-)-Ribose,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O,No
L-(+)-Ribose,O1[C@H]([C@@H]([C@@H](C1O)O)O)CO,No
Octyl alpha-D-glucopyranoside,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(OCCCCCCCC)O1,No
Decyl beta-D-glucopyranoside,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(OCCCCCCCCCC)O1,No
n-Dodecyl beta-D-glucopyranoside,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(OCCCCCCCCCCCC)O1,No
Nonyl beta-D-glucopyranoside,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(OCCCCCCCCC)O1,No
1-Thioglycerol,SCC(O)CO,No
(-)-Sinigrin hydrate,[K+].[S](=O)(=O)([O-])ONC(=CC=C)S[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO.O,No
